No.,SAMPLE_ID,식품명,,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1포장당,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g)
771,P023782-ZZ-AVG,보글보글부대찌개컵면,,(주)농심,2019,가공식품,유탕면,P023782,식약처('19),65,290,-,5,10,45,2,1210,0,6,-,0
790,P001492-ZZ-AVG,농심 사리면,,(주)농심,2018,가공식품,유탕면,P001492,식약처 영양실태조사('18),110,490,-,8,17,76,1,390,0,0,-,8
794,P001813-ZZ-AVG,신라면 블랙,,(주)농심,2018,가공식품,유탕면,P001813,식약처 영양실태조사('18),134,575,-,12,18,91,8,1780,10,9,-,0
795,P001814-ZZ-AVG,보글보글 부대찌개면,,(주)농심,2018,가공식품,유탕면,P001814,식약처 영양실태조사('18),127,545,-,10,18,86,6,1850,5,9,-,0
796,P001967-ZZ-AVG,농심 감자면,,(주)농심,2018,가공식품,유탕면,P001967,식약처 영양실태조사('18),117,505,-,11,17,77,4,1750,0,8,-,0
797,P001968-ZZ-AVG,육개장 라면,,(주)농심,2018,가공식품,유탕면,P001968,식약처 영양실태조사('18),116,515,-,11,18,77,3,1780,3,9,-,0
798,P001969-ZZ-AVG,짜왕,,(주)농심,2018,가공식품,유탕면,P001969,식약처 영양실태조사('18),134,605,-,10,22,92,8,1180,0,9,-,0
812,P010457-ZZ-AVG,순한너구리,,(주)농심,2017,가공식품,유탕면,P010457,식약처 산업체제공('17),120,500,-,9,16,80,4,1420,0,8,-,0
813,P010458-ZZ-AVG,얼큰한너구리,,(주)농심,2017,가공식품,유탕면,P010458,식약처 산업체제공('17),120,495,-,8,15,82,4,1760,0,8,-,0
816,P010463-ZZ-AVG,신라면,,(주)농심,2017,가공식품,유탕면,P010463,식약처 산업체제공('17),120,632.16,-,12.82,25.2,80.06,4.8,3035.5,0,-,-,0
819,P010466-ZZ-AVG,새우탕 큰사발,,(주)농심,2017,가공식품,유탕면,P010466,식약처 산업체제공('17),115,500,-,10,17,77,4,1590,10,9,-,0
822,P010470-ZZ-AVG,김치큰사발면,,(주)농심,2017,가공식품,유탕면,P010470,식약처 산업체제공('17),112,480,-,9,16,75,4,1430,0,8,-,0
823,P010471-ZZ-AVG,튀김우동 큰사발,,(주)농심,2017,가공식품,유탕면,P010471,식약처 산업체제공('17),111,490,-,8,18,73,6,1590,0,9,-,0
825,P012011-ZZ-AVG,짜장큰사발,,(주)농심,2017,가공식품,유탕면,P012011,식약처 산업체제공('17),80,272.64,-,5.25,10.56,37.7,4.16,938.88,0,-,-,0
830,P014334-ZZ-AVG,고추비빔면,,(주)농심,2017,가공식품,유탕면,P014334,식약처 산업체제공('17),120,468.64,-,6.82,18.75,68.16,7.2,962.84,0,9.37,-,0
836,P014341-ZZ-AVG,김치사발면,,(주)농심,2017,가공식품,유탕면,P014341,식약처 산업체제공('17),80,271.63,-,5.21,10.42,39.44,2.29,1272.5,0,5.21,-,0
837,P014342-ZZ-AVG,김치큰사발,,(주)농심,2017,가공식품,유탕면,P014342,식약처 산업체제공('17),80,274.29,-,5.14,9.14,42.86,2.29,817.14,0,4.57,-,0
842,P014347-ZZ-AVG,너구리컵,,(주)농심,2017,가공식품,유탕면,P014347,식약처 산업체제공('17),120,650.32,-,9.29,25.55,95.23,4.8,2183.23,0,11.61,-,0
843,P014348-ZZ-AVG,너구리 큰사발,,(주)농심,2017,가공식품,유탕면,P014348,식약처 산업체제공('17),120,668.11,-,11.68,27.24,93.41,4.8,2270.2,0,12.97,-,0
844,P014352-ZZ-AVG,농심 라면육개장,,(주)농심,2017,가공식품,유탕면,P014352,식약처 산업체제공('17),116,515,-,11,18,77,2,1780,2,9,-,0
845,P014353-ZZ-AVG,농심 우육탕면,,(주)농심,2017,가공식품,유탕면,P014353,식약처 산업체제공('17),80,273.17,-,4.68,8.85,43.71,2.78,931.38,0,4.16,-,0
853,P014369-ZZ-AVG,모듬 해물탕면,,(주)농심,2017,가공식품,유탕면,P014369,식약처 산업체제공('17),120,622.08,-,11.52,19.58,100.22,4.61,2016,2.3,10.37,-,0
854,P014370-ZZ-AVG,무파마탕면,,(주)농심,2017,가공식품,유탕면,P014370,식약처 산업체제공('17),120,623.3,-,12.59,20.08,98.04,4.72,2207.7,0,9.84,-,0
855,P014371-ZZ-AVG,무파마 큰사발,,(주)농심,2017,가공식품,유탕면,P014371,식약처 산업체제공('17),80,277.14,-,5.71,9.14,42.86,2.29,897.14,0,4.57,-,0
860,P014454-ZZ-AVG,사리곰탕 큰사발,,(주)농심,2017,가공식품,유탕면,P014454,식약처 산업체제공('17),80,285.41,-,4.61,9.8,44.4,1.05,962.88,0,4.61,-,0
861,P014455-ZZ-AVG,사리곰탕 면,,(주)농심,2017,가공식품,유탕면,P014455,식약처 산업체제공('17),120,621.82,-,14.4,19.64,96.87,7.85,2225.4,0,10.47,-,0
862,P014456-ZZ-AVG,사리곰탕 컵면,,(주)농심,2017,가공식품,유탕면,P014456,식약처 산업체제공('17),80,262.3,-,5.25,8.39,41.97,1.05,1280,0,4.3,-,0
863,P014457-ZZ-AVG,사리곰탕 큰사발면,,(주)농심,2017,가공식품,유탕면,P014457,식약처 산업체제공('17),80,285.41,-,4.61,9.8,44.4,1.05,962.88,0,4.61,-,0
865,P014459-ZZ-AVG,사천요리 짜파게티,,(주)농심,2017,가공식품,유탕면,P014459,식약처 산업체제공('17),120,646.42,-,12.61,22.07,98.8,6.17,1135.1,0,8.41,-,0
866,P014460-ZZ-AVG,사천 짜파게티 큰사발,,(주)농심,2017,가공식품,유탕면,P014460,식약처 산업체제공('17),80,297.74,-,5.01,11.69,42.85,4.16,573.22,0,5.01,-,0
867,P014462-ZZ-AVG,새우탕컵,,(주)농심,2017,가공식품,유탕면,P014462,식약처 산업체제공('17),80,277.02,-,5.73,10.51,40.12,2.23,1155.8,0,5.73,-,0
868,P014463-ZZ-AVG,새우탕 큰사발,,(주)농심,2017,가공식품,유탕면,P014463,식약처 산업체제공('17),80,278.26,-,5.57,10.02,41.74,2.23,951.65,5.57,5.01,-,0
876,P014493-ZZ-AVG,신라면 큰사발,,(주)농심,2017,가공식품,유탕면,P014493,식약처 산업체제공('17),114,490,-,8,17,76,5,1550,0,9,-,0
877,P014495-ZZ-AVG,신라면 블랙컵,,(주)농심,2017,가공식품,유탕면,P014495,식약처 산업체제공('17),101,445,-,9,15,68,5,1530,0,7,-,0
878,P014496-ZZ-AVG,신라면 사발면 KAL,,(주)농심,2017,가공식품,유탕면,P014496,식약처 산업체제공('17),80,274.29,-,4.22,9.14,43.6,3.8,1174.5,0,4.22,-,0
879,P014497-ZZ-AVG,신라면컵,,(주)농심,2017,가공식품,유탕면,P014497,식약처 산업체제공('17),65,285,-,4,11,42,2,1490,0,5,-,0
881,P014500-ZZ-AVG,쌀국수 설렁탕,,(주)농심,2017,가공식품,유탕면,P014500,식약처 산업체제공('17),120,406.34,-,11.61,1.16,87.07,4.12,1722.1,0,0,-,0
883,P014529-ZZ-AVG,안성탕면,,(주)농심,2017,가공식품,유탕면,P014529,식약처 산업체제공('17),120,616.32,-,12.67,19.58,96.77,4.61,2062,0,9.22,-,0
884,P014530-ZZ-AVG,안성탕면 컵,,(주)농심,2017,가공식품,유탕면,P014530,식약처 산업체제공('17),80,276.36,-,4.85,9.7,42.67,2.91,1018.1,0,4.85,-,0
886,P014533-ZZ-AVG,야채라면,,(주)농심,2017,가공식품,유탕면,P014533,식약처 산업체제공('17),100,350,-,9,1,76,7,1740,0,0,-,0
893,P014546-ZZ-AVG,오징어짬뽕,,(주)농심,2017,가공식품,유탕면,P014546,식약처 산업체제공('17),120,592.26,-,11.61,17.42,97.55,6.97,2032.2,13.93,9.29,-,0
894,P014547-ZZ-AVG,오징어짬뽕 컵,,(주)농심,2017,가공식품,유탕면,P014547,식약처 산업체제공('17),80,277.02,-,4.78,9.55,42.98,3.1,1184.4,9.55,4.3,-,0
895,P014548-ZZ-AVG,오징어짬뽕 큰사발,,(주)농심,2017,가공식품,유탕면,P014548,식약처 산업체제공('17),120,632.35,-,11.27,21.29,98.92,6.97,2228.8,6.26,10.02,-,0
896,P014614-ZZ-AVG,우육탕 큰사발,,(주)농심,2017,가공식품,유탕면,P014614,식약처 산업체제공('17),80,264.35,-,4.45,9.46,40.07,2.78,946.09,0,4.45,-,0
897,P014615-ZZ-AVG,우육탕 큰사발면,,(주)농심,2017,가공식품,유탕면,P014615,식약처 산업체제공('17),80,272.7,-,5.01,9.46,41.74,2.78,946.09,0,4.45,-,0
899,P014619-ZZ-AVG,육개장 라면,,(주)농심,2017,가공식품,유탕면,P014619,식약처 산업체제공('17),116,515,-,11,18,77,2,1780,0,9,-,0
900,P014621-ZZ-AVG,육개장 큰사발면,,(주)농심,2017,가공식품,유탕면,P014621,식약처 산업체제공('17),80,273.45,-,5.24,9.31,42.47,1.75,936.73,0,4.65,-,0
911,P014660-ZZ-AVG,진짜진짜,,(주)농심,2017,가공식품,유탕면,P014660,식약처 산업체제공('17),120,614.48,-,12.41,19.86,96.83,1.31,2222,0,9.93,-,0
913,P014662-ZZ-AVG,짜파게티 큰사발면,,(주)농심,2017,가공식품,유탕면,P014662,식약처 산업체제공('17),80,288.78,-,5.2,10.41,43.71,4.16,660.81,0,4.68,-,0
914,P014663-ZZ-AVG,짜파게티 범벅,,(주)농심,2017,가공식품,유탕면,P014663,식약처 산업체제공('17),80,288,-,5.49,9.14,45.71,4.16,777.14,0,4.21,-,0
915,P014664-ZZ-AVG,짜파게티 큰사발,,(주)농심,2017,가공식품,유탕면,P014664,식약처 산업체제공('17),80,291.38,-,5.2,10.41,44.23,4.16,660.81,0,4.68,-,0
918,P014670-ZZ-AVG,채식주의순,,(주)농심,2017,가공식품,유탕면,P014670,식약처 산업체제공('17),120,510,-,11,16,81,1.31,1930,0,8,-,0
933,P014702-ZZ-AVG,튀김우동 컵,,(주)농심,2017,가공식품,유탕면,P014702,식약처 산업체제공('17),80,325.16,-,4.13,15.48,42.32,2.88,1238.7,0,5.16,-,0
936,P014714-ZZ-AVG,하모니,,(주)농심,2017,가공식품,유탕면,P014714,식약처 산업체제공('17),120,498.25,-,7.74,19.35,73.53,1.31,870.73,0,8.71,-,0
943,P014726-ZZ-AVG,후루룩 국수,,(주)농심,2017,가공식품,유탕면,P014726,식약처 산업체제공('17),120,544.42,-,15.31,1.19,117.39,3.01,2909.2,0,0,-,0
947,P000313-ZZ-AVG,얼큰한 너구리,,(주)농심,2016,가공식품,유탕면,P000313,식약처 영양실태조사('16),120,515,-,-,-,-,4,1700,-,8,-,0
68,P065314-ZZ-AVG,레드라면컵,,(주)농업법인쿱도우 괴산공방,2021,가공식품,유탕면,P065314,식약처('21),103,470,-,10,17,68,3,1930,0,8,-,0
69,P065315-ZZ-AVG,레드라면컵미니,,(주)농업법인쿱도우 괴산공방,2021,가공식품,유탕면,P065315,식약처('21),65,290,-,6,11,42,2,960,0,5,-,0
70,P065316-ZZ-AVG,안심짜장면컵,,(주)농업법인쿱도우 괴산공방,2021,가공식품,유탕면,P065316,식약처('21),124,545,-,9,23,75,8,770,0,7,-,0
71,P065317-ZZ-AVG,자연드림라면컵,,(주)농업법인쿱도우 괴산공방,2021,가공식품,유탕면,P065317,식약처('21),102,460,-,10,17,66,4,1920,0,8,-,0
72,P065318-ZZ-AVG,자연드림라면컵미니,,(주)농업법인쿱도우 괴산공방,2021,가공식품,유탕면,P065318,식약처('21),65,300,-,6,11,44,2,1170,0,5,-,0
73,P065319-ZZ-AVG,키토라면,,(주)농업법인쿱도우 괴산공방,2021,가공식품,유탕면,P065319,식약처('21),101,400,-,12.6,20,59.6,0,2190,0,9,-,0
74,P065320-ZZ-AVG,해물라면컵,,(주)농업법인쿱도우 괴산공방,2021,가공식품,유탕면,P065320,식약처('21),105,480,-,9,19,67,4,1540,5,9,-,0
330,P037469-ZZ-AVG,자연드림라면컵미니,,㈜농업법인쿱도우 괴산공방,2020,가공식품,유탕면,P037469,식약처('20),65,300,-,6,11,44,2,1170,0,5,-,0
358,P038910-ZZ-AVG,안심짜장면컵,,㈜농업법인쿱도우 괴산공방,2020,가공식품,유탕면,P038910,식약처('20),124,545,-,9,23,75,8,770,0,7,-,0
426,P040093-ZZ-AVG,자연드림라면컵,,㈜농업법인쿱도우 괴산공방,2020,가공식품,유탕면,P040093,식약처('20),102,460,-,10,17,66,4,1920,0,8,-,0
427,P040094-ZZ-AVG,해물라면컵,,㈜농업법인쿱도우 괴산공방,2020,가공식품,유탕면,P040094,식약처('20),105,480,-,9,19,67,4,1540,5,9,-,0
460,P040480-ZZ-AVG,레드라면컵,,㈜농업법인쿱도우 괴산공방,2020,가공식품,유탕면,P040480,식약처('20),103,470,-,10,17,68,3,1930,0,8,-,0
481,P040937-ZZ-AVG,레드라면컵미니,,㈜농업법인쿱도우 괴산공방,2020,가공식품,유탕면,P040937,식약처('20),65,290,-,6,11,42,2,960,0,5,-,0
951,P000620-ZZ-AVG,쌀로 빚은 채식라면,,㈜새롬식품,2016,가공식품,유탕면,P000620,식약처 영양실태조사('16),114,490,-,-,-,-,2,1700,-,7,-,0
75,P067832-ZZ-AVG,7가지 채소가득 우리밀라면,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067832,식약처('21),72,340,-,7,15,44,2,1340,0,7,-,0
76,P067833-ZZ-AVG,군산불짬뽕컵면,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067833,식약처('21),82,346,-,9,16,40,2,1424,0,7,-,0
77,P067834-ZZ-AVG,삼육 우리밀로만든감자라면컵,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067834,식약처('21),73,325,-,6,14,45,3,1170,0,7,-,0
78,P067835-ZZ-AVG,애터미우리밀감자라면컵,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067835,식약처('21),73,321,-,6,14,45,3,1000,0,7,-,0
79,P067836-ZZ-AVG,우리감자로만든감자라면,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067836,식약처('21),73,335,-,7,15,43,2,1280,0,7,-,0
80,P067837-ZZ-AVG,우리채소가풍부한짬뽕라면,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067837,식약처('21),75,345,-,7,15,46,3,1400,2,7,-,0
81,P067838-ZZ-AVG,제주딱새우라면,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067838,식약처('21),68,297,-,7,12,42,1,1446,0,5,-,0
82,P067839-ZZ-AVG,제주흑돼지라면컵돗멘,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067839,식약처('21),73,333,-,7,14,45,1,1233,1,7,-,0
360,P039031-ZZ-AVG,우리밀구쁘컵라면,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P039031,식약처('20),73,327,-,7,14,44,8,1484,0,6,-,0
389,P039542-ZZ-AVG,우리쌀로만든짬뽕라면,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P039542,식약처('20),106,470,-,14,17,66,6,1660,6,7,-,0
396,P039868-ZZ-AVG,7가지 채소가득 우리밀라면,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P039868,식약처('20),73,335,-,7,13,48,5,1046,0,6,-,0
443,P040450-ZZ-AVG,우리채소가풍부한짬뽕라면,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P040450,식약처('20),75,345,-,7,15,46,3,1400,2,7,-,0
479,P040935-ZZ-AVG,우리감자로만든감자라면,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P040935,식약처('20),73,335,-,7,15,43,2,1280,0,7,-,0
480,P040936-ZZ-AVG,군산불짬뽕컵면,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P040936,식약처('20),82,346,-,9,16,40,2,1424,0,7,-,0
489,P041216-ZZ-AVG,치즈라볶이사리면,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P041216,식약처('20),55,266,-,5,12,34,1,277,0,5,-,0
490,P041223-ZZ-AVG,라면사리,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P041223,식약처('20),100,455,-,12,16,66,1,390,0,7,-,0
491,P041380-ZZ-AVG,제주흑돼지라면컵돗멘,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P041380,식약처('20),73,333,-,7,14,45,1,1233,1,7,-,0
492,P041381-ZZ-AVG,우리쌀로만든밥라면,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P041381,식약처('20),98,430,-,9,15,65,1,1360,0,7,-,0
505,P042055-ZZ-AVG,애터미우리밀감자라면컵,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P042055,식약처('20),73,321,-,6,14,45,3,1000,0,7,-,0
554,P042308-ZZ-AVG,삼육 우리밀로만든감자라면컵,,㈜새롬식품(완주공장),2020,가공식품,유탕면,P042308,식약처('20),73,325,-,6,14,45,3,1170,0,7,-,0
581,P023590-ZZ-AVG,애터미감자로만든채식라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023590,식약처('19),114,510,-,10,22,71,3,1520,0,9,-,0
607,P023616-ZZ-AVG,애터미우리밀감자라면컵,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023616,식약처('19),73,321,-,6,14,45,3,1000,0,7,-,0
639,P023648-ZZ-AVG,한살림감자라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023648,식약처('19),110,485,-,16,17,67,4,1630,0,8,-,0
651,P023660-ZZ-AVG,국내산감자로만든감자라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023660,식약처('19),110,485,-,12,17,71,3,1600,0,8,-,0
679,P023690-ZZ-AVG,애터미착한짜장,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023690,식약처('19),180,535,-,18,19,73,8,1244,5,7,-,0
686,P023697-ZZ-AVG,랍면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023697,식약처('19),115,510,-,14,19,71,4,1820,7,9,-,0
696,P023707-ZZ-AVG,우리밀감자라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023707,식약처('19),100,515,-,13,20,71,2,1820,0,8,-,0
715,P023726-ZZ-AVG,우리밀해물라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023726,식약처('19),114,530,-,14,21,73,5,1490,10,10,-,0
716,P023727-ZZ-AVG,7가지 채소가득 우리밀라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023727,식약처('19),73,335,-,7,13,48,5,1046,0,6,-,0
720,P023731-ZZ-AVG,부숴먹는라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023731,식약처('19),100,415,-,10,15,60,1,850,0,6,-,0
721,P023732-ZZ-AVG,감자해물맛라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023732,식약처('19),100,510,-,15,22,63,2,1400,0,9,-,0
745,P023756-ZZ-AVG,삼육 우리밀로만든감자라면컵,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023756,식약처('19),73,325,-,6,14,45,3,1170,0,7,-,0
746,P023757-ZZ-AVG,한살림우리밀라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023757,식약처('19),110,515,-,13,22,66,3,1600,0,8,-,0
751,P023762-ZZ-AVG,한살림사리면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023762,식약처('19),100,470,-,13,17,66,3,350,0,15,-,0
758,P023769-ZZ-AVG,토종밀앉은뱅이밀라면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023769,식약처('19),100,513,-,13,19,73,3,1870,0,9,-,0
760,P023771-ZZ-AVG,채식청정면,,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023771,식약처('19),114,520,-,15,19,73,4,1350,0,9,-,0
763,P023774-ZZ-AVG,삼육채식라면(순한맛),,㈜새롬식품(완주공장),2019,가공식품,유탕면,P023774,식약처('19),110,465,-,14,16,69,3,1760,0,8,-,0
807,P001322-ZZ-AVG,우리쌀로 만든 짬뽕라면,,㈜새롬식품(완주공장),2017,가공식품,유탕면,P001322,식약처 영양실태조사('17),117,520,-,-,-,-,6,2191,-,-,-,-
808,P001323-ZZ-AVG,우리쌀로 만든 채식비빔면,,㈜새롬식품(완주공장),2017,가공식품,유탕면,P001323,식약처 영양실태조사('17),135,605,-,-,-,-,17,1361,-,-,-,-
950,P000599-ZZ-AVG,우리밀 김치라면,,㈜새롬식품(완주공장),2016,가공식품,유탕면,P000599,식약처 영양실태조사('16),113,500,-,-,-,-,3,1800,-,8,-,0
834,P014339-ZZ-AVG,그린우동면,,㈜아워홈,2017,가공식품,유탕면,P014339,식약처 산업체제공('17),100,64.86,-,1.25,0.74,13.16,2.86,119.26,0,0.13,-,0
869,P014464-ZZ-AVG,생라면,,㈜아워홈,2017,가공식품,유탕면,P014464,식약처 산업체제공('17),120,200.88,-,6.34,2.02,38.99,2.12,576.86,0,0.33,-,0
880,P014499-ZZ-AVG,쌀국수 사리면,,㈜아워홈,2017,가공식품,유탕면,P014499,식약처 산업체제공('17),100,68.25,-,1.25,0.25,15.18,2.84,1.33,0,0.08,-,0
723,P023734-ZZ-AVG,요괴라면 봉골레맛,,㈜지앤씨에프에스,2019,가공식품,유탕면,P023734,식약처('19),110,440,-,8,10,79,5,1860,3,5,-,0
748,P023759-ZZ-AVG,요괴라면 크림크림맛,,㈜지앤씨에프에스,2019,가공식품,유탕면,P023759,식약처('19),120,460,-,9,9,76,9,1150,5,8,-,0
749,P023760-ZZ-AVG,요괴라면 국물떡볶이맛,,㈜지앤씨에프에스,2019,가공식품,유탕면,P023760,식약처('19),110,455,-,9,14,76,9,1430,3,7,-,0
769,P023780-ZZ-AVG,요괴라면 매운볶음맛,,㈜지앤씨에프에스,2019,가공식품,유탕면,P023780,식약처('19),110,485,-,11,15,78,5,1650,0,0.8,-,0
83,P072751-ZZ-AVG,gomgom호로록매콤라면,,(주)팔도,2021,가공식품,유탕면,P072751,식약처('21),86,365,-,6,11,60,2,1570,0,6,-,0
84,P072752-ZZ-AVG,gomgom호로록짜장라면,,(주)팔도,2021,가공식품,유탕면,P072752,식약처('21),86,380,-,6,13,60,5,810,0,5,-,0
85,P072753-ZZ-AVG,gomgom호로록짬뽕라면,,(주)팔도,2021,가공식품,유탕면,P072753,식약처('21),86,360,-,6,11,59,3,1570,3.5,5,-,0
86,P072754-ZZ-AVG,강릉교동반점직화짬뽕,,(주)팔도,2021,가공식품,유탕면,P072754,식약처('21),110,450,-,10,15,69,6,1770,8,6,-,0
87,P072755-ZZ-AVG,공화춘 삼선짬뽕,,(주)팔도,2021,가공식품,유탕면,P072755,식약처('21),110,505,-,9,22,68,3,1690,15,8,-,0
88,P072756-ZZ-AVG,공화춘 아주매운짬뽕,,(주)팔도,2021,가공식품,유탕면,P072756,식약처('21),110,500,-,10,20,70,2,1730,17,8,-,0
89,P072757-ZZ-AVG,김치왕뚜껑,,(주)팔도,2021,가공식품,유탕면,P072757,식약처('21),110,470,-,8,17,71,4,1790,0,9,-,0
90,P072758-ZZ-AVG,꼬꼬면왕컵,,(주)팔도,2021,가공식품,유탕면,P072758,식약처('21),105,455,-,8,17,68,4,1610,0,8,-,0
91,P072759-ZZ-AVG,동원 고추참치라면,,(주)팔도,2021,가공식품,유탕면,P072759,식약처('21),160,560,-,13,22,77,15,1890,10,8,-,0
92,P072760-ZZ-AVG,동원 참치라면,,(주)팔도,2021,가공식품,유탕면,P072760,식약처('21),160,535,-,15,24,65,2,1660,15,8,-,0
93,P072761-ZZ-AVG,빅3볶음김치면,,(주)팔도,2021,가공식품,유탕면,P072761,식약처('21),150,530,-,9,25,67,4,1780,0,13,-,0
94,P072762-ZZ-AVG,속초홍게라면,,(주)팔도,2021,가공식품,유탕면,P072762,식약처('21),115,500,-,10,19,72,4,1680,4,8,-,0
95,P072763-ZZ-AVG,오모리 김치찌개라면,,(주)팔도,2021,가공식품,유탕면,P072763,식약처('21),150,485,-,9,20,67,2,1870,4,11,-,0
96,P072764-ZZ-AVG,유어스틈새라면,,(주)팔도,2021,가공식품,유탕면,P072764,식약처('21),105,465,-,9,15,73,4,1670,0,7,-,0
97,P072765-ZZ-AVG,일품삼선짜장컵,,(주)팔도,2021,가공식품,유탕면,P072765,식약처('21),100,425,-,9,13,68,5,950,1,7,-,0
98,P072766-ZZ-AVG,팔도 도시락,,(주)팔도,2021,가공식품,유탕면,P072766,식약처('21),86,380,-,6,14,57,3,1400,0,7,-,0
99,P072767-ZZ-AVG,팔도 비빔면 치즈컵,,(주)팔도,2021,가공식품,유탕면,P072767,식약처('21),108,455,-,7,17,69,10,880,0,8,-,0
100,P072768-ZZ-AVG,팔도 짬뽕왕뚜껑,,(주)팔도,2021,가공식품,유탕면,P072768,식약처('21),110,475,-,9,17,71,4,1740,4,9,-,0
101,P072769-ZZ-AVG,팔도김치도시락,,(주)팔도,2021,가공식품,유탕면,P072769,식약처('21),86,395,-,6,16,57,2,1590,0,8,-,0
102,P072770-ZZ-AVG,팔도짜장면 왕컵,,(주)팔도,2021,가공식품,유탕면,P072770,식약처('21),160,515,-,11,21,71,11,960,4.1,14,-,0
103,P072771-ZZ-AVG,홍석천‘S 홍라면 매운치즈볶음면,,(주)팔도,2021,가공식품,유탕면,P072771,식약처('21),119,495,-,8,17,78,11,1160,9,7,-,0
307,P035521-ZZ-AVG,아임이 민생라면(봉지),,(주)팔도,2020,가공식품,유탕면,P035521,식약처('20),115,480,-,10,15,76,7,1800,-,7,-,0
308,P035523-ZZ-AVG,팔도 쫄비빔면,,(주)팔도,2020,가공식품,유탕면,P035523,식약처('20),130,480,-,9,13,82,14,1190,-,7,-,0
309,P035524-ZZ-AVG,괄도네넴띤,,(주)팔도,2020,가공식품,유탕면,P035524,식약처('20),130,530,-,9,19,81,13,1270,-,9,-,0
316,P037271-ZZ-AVG,일품삼선짜장,,(주)팔도,2020,가공식품,유탕면,P037271,식약처('20),120,500,-,11,15,80,7,1010,1,8,-,0
319,P037299-ZZ-AVG,아임이 민생짜장,,(주)팔도,2020,가공식품,유탕면,P037299,식약처('20),115,485,-,10,15,77,6,990,0,8,-,0
324,P037358-ZZ-AVG,팔도 더왕뚜껑,,(주)팔도,2020,가공식품,유탕면,P037358,식약처('20),120,510,-,11,16,80,4,1790,0,7,-,0
328,P037391-ZZ-AVG,이것은 라면이 아니다 시원한 김치찌개라면,,(주)팔도,2020,가공식품,유탕면,P037391,식약처('20),150,490,-,10,15,79,3,1740,0,7,-,0
329,P037465-ZZ-AVG,왕뚜껑컵,,(주)팔도,2020,가공식품,유탕면,P037465,식약처('20),65,290,-,9,11,39,2,1060,0,5,-,0
333,P038244-ZZ-AVG,동원 고추참치라면,,(주)팔도,2020,가공식품,유탕면,P038244,식약처('20),160,560,-,13,22,77,15,1890,10,8,-,0
335,P038266-ZZ-AVG,팔도비빔면컵,,(주)팔도,2020,가공식품,유탕면,P038266,식약처('20),115,465,-,8,18,68,14,1190,0,9,-,0
340,P038417-ZZ-AVG,팔도비비(BB)크림면,,(주)팔도,2020,가공식품,유탕면,P038417,식약처('20),133,575,-,10,21,87,12,1190,3,11,-,0
342,P038516-ZZ-AVG,편스토랑 마장면,,(주)팔도,2020,가공식품,유탕면,P038516,식약처('20),123,515,-,10,18,78,11,1180,0,7,-,0
343,P038532-ZZ-AVG,팔도짜장면 왕컵,,(주)팔도,2020,가공식품,유탕면,P038532,식약처('20),160,515,-,11,21,71,11,960,4.1,14,-,0
345,P038638-ZZ-AVG,팔도 비빔면 치즈컵,,(주)팔도,2020,가공식품,유탕면,P038638,식약처('20),108,455,-,7,17,69,10,880,0,8,-,0
346,P038639-ZZ-AVG,홍석천‘S 홍라면 매운치즈볶음면,,(주)팔도,2020,가공식품,유탕면,P038639,식약처('20),112,480,-,8,18,71,10,1100,8,8,-,0
